date,var,index
2006-01-01,IMAE, 99.90605
2006-02-01,IMAE, 92.71669
2006-03-01,IMAE,100.40593
2006-04-01,IMAE, 90.27233
2006-05-01,IMAE, 99.18964
2006-06-01,IMAE, 99.27898
2006-07-01,IMAE,102.76476
2006-08-01,IMAE,101.83068
2006-09-01,IMAE, 95.99883
2006-10-01,IMAE,101.11488
2006-11-01,IMAE,103.11919
2006-12-01,IMAE,113.40203
2007-01-01,IMAE,103.08306
2007-02-01,IMAE, 96.27429
2007-03-01,IMAE,104.84122
2007-04-01,IMAE, 95.06313
2007-05-01,IMAE,105.42427
2007-06-01,IMAE,101.84292
2007-07-01,IMAE,110.76660
2007-08-01,IMAE,106.69525
2007-09-01,IMAE, 98.77079
2007-10-01,IMAE,107.96370
2007-11-01,IMAE,110.72485
2007-12-01,IMAE,119.46616
2008-01-01,IMAE,111.74941
2008-02-01,IMAE,104.76204
2008-03-01,IMAE,104.31563
2008-04-01,IMAE,108.95365
2008-05-01,IMAE,108.01500
2008-06-01,IMAE,107.49761
2008-07-01,IMAE,114.88045
2008-08-01,IMAE,109.34527
2008-09-01,IMAE,105.25798
2008-10-01,IMAE,107.77609
2008-11-01,IMAE,103.26977
2008-12-01,IMAE,118.41482
2009-01-01,IMAE,105.03163
2009-02-01,IMAE, 99.79672
2009-03-01,IMAE, 99.64148
2009-04-01,IMAE, 97.49244
2009-05-01,IMAE,104.88843
2009-06-01,IMAE,102.79892
2009-07-01,IMAE,111.33814
2009-08-01,IMAE,106.16190
2009-09-01,IMAE,101.22899
2009-10-01,IMAE,103.13408
2009-11-01,IMAE,109.32255
2009-12-01,IMAE,120.45829
2010-01-01,IMAE,107.23326
2010-02-01,IMAE,102.42753
2010-03-01,IMAE,106.12015
2010-04-01,IMAE, 99.76468
2010-05-01,IMAE,108.02086
2010-06-01,IMAE,107.06410
2010-07-01,IMAE,116.88003
2010-08-01,IMAE,111.07075
2010-09-01,IMAE,106.69261
2010-10-01,IMAE,109.91184
2010-11-01,IMAE,116.97285
2010-12-01,IMAE,124.75919
2011-01-01,IMAE,112.73132
2011-02-01,IMAE,107.30548
2011-03-01,IMAE,112.48748
2011-04-01,IMAE,107.30478
2011-05-01,IMAE,117.58740
2011-06-01,IMAE,115.09038
2011-07-01,IMAE,125.34497
2011-08-01,IMAE,119.47253
2011-09-01,IMAE,112.08317
2011-10-01,IMAE,116.24541
2011-11-01,IMAE,123.41732
2011-12-01,IMAE,131.03317
2012-01-01,IMAE,128.51118
2012-02-01,IMAE,116.55548
2012-03-01,IMAE,117.92342
2012-04-01,IMAE,112.01719
2012-05-01,IMAE,125.91712
2012-06-01,IMAE,117.27448
2012-07-01,IMAE,130.88906
2012-08-01,IMAE,124.40289
2012-09-01,IMAE,117.30672
2012-10-01,IMAE,126.91486
2012-11-01,IMAE,130.43543
2012-12-01,IMAE,142.90818
2013-01-01,IMAE,131.85070
2013-02-01,IMAE,122.81808
2013-03-01,IMAE,121.39964
2013-04-01,IMAE,126.19333
2013-05-01,IMAE,132.10532
2013-06-01,IMAE,122.61921
2013-07-01,IMAE,138.26024
2013-08-01,IMAE,130.54206
2013-09-01,IMAE,125.55090
2013-10-01,IMAE,130.74308
2013-11-01,IMAE,134.21292
2013-12-01,IMAE,148.22630
2014-01-01,IMAE,135.77965
2014-02-01,IMAE,130.04636
2014-03-01,IMAE,131.90845
2014-04-01,IMAE,128.43665
2014-05-01,IMAE,137.33444
2014-06-01,IMAE,129.21045
2014-07-01,IMAE,143.74952
2014-08-01,IMAE,133.35496
2014-09-01,IMAE,131.98686
2014-10-01,IMAE,137.78679
2014-11-01,IMAE,141.9083
2014-12-01,IMAE,157.88893
2015-01-01,IMAE,140.74260
2015-02-01,IMAE,136.93471
2015-03-01,IMAE,136.73607
2015-04-01,IMAE,130.47798
2015-05-01,IMAE,142.49188
2015-06-01,IMAE,133.04193
2015-07-01,IMAE,150.54766
2015-08-01,IMAE,140.91206
2015-09-01,IMAE,139.99711
2015-10-01,IMAE,148.2061
2015-11-01,IMAE,152.1860
2015-12-01,IMAE,165.6813
2016-01-01,IMAE,146.80868
2016-02-01,IMAE,140.55641
2016-03-01,IMAE,141.99861
2016-04-01,IMAE,139.93373
2016-05-01,IMAE,151.79742
2016-06-01,IMAE,142.21732
2016-07-01,IMAE,155.57890
2016-08-01,IMAE,149.76465
2016-09-01,IMAE,143.21891
2016-10-01,IMAE,151.39406
2016-11-01,IMAE,158.7283
2016-12-01,IMAE,174.3512
2017-01-01,IMAE,157.97586
2017-02-01,IMAE,148.21081
2017-03-01,IMAE,153.20794
2017-04-01,IMAE,144.00801
2017-05-01,IMAE,159.50301
2017-06-01,IMAE,149.06570
2017-07-01,IMAE,161.53725
2017-08-01,IMAE,154.39773
2017-09-01,IMAE,148.19756
2017-10-01,IMAE,157.22660
2017-11-01,IMAE,167.6363
2017-12-01,IMAE,178.5740
2018-01-01,IMAE,162.59762
2018-02-01,IMAE,152.90230
2018-03-01,IMAE,155.75415
2018-04-01,IMAE,148.68528
2018-05-01,IMAE,149.84905
2018-06-01,IMAE,129.49684
2018-07-01,IMAE,151.93229
2018-08-01,IMAE,147.56731
2018-09-01,IMAE,141.13061
2018-10-01,IMAE,144.47780
2018-11-01,IMAE,155.57860
2018-12-01,IMAE,165.31996
2019-01-01,IMAE,150.99659
2019-02-01,IMAE,138.44508
2019-03-01,IMAE,139.98869
2019-04-01,IMAE,138.17872
2019-05-01,IMAE,143.01875
2019-06-01,IMAE,133.12013
2019-07-01,IMAE,148.56072
2019-08-01,IMAE,141.33245
2019-09-01,IMAE,136.48954
2019-10-01,IMAE,144.88049
2019-11-01,IMAE,155.32522
2019-12-01,IMAE,164.92956
2020-01-01,IMAE,151.8374
2020-02-01,IMAE,144.48199
2020-03-01,IMAE,139.87766
2020-04-01,IMAE,124.51072
2020-05-01,IMAE,131.10414
2020-06-01,IMAE,125.59601
2020-07-01,IMAE,143.47642
2020-08-01,IMAE,136.12696
2020-09-01,IMAE,137.35437
2006-01-01,Impuestos, 96.21167
2006-02-01,Impuestos, 90.55590
2006-03-01,Impuestos,101.69718
2006-04-01,Impuestos, 89.47147
2006-05-01,Impuestos,101.32576
2006-06-01,Impuestos, 97.07226
2006-07-01,Impuestos,101.04662
2006-08-01,Impuestos,105.14482
2006-09-01,Impuestos, 95.62246
2006-10-01,Impuestos,106.05595
2006-11-01,Impuestos,103.72382
2006-12-01,Impuestos,112.07210
2007-01-01,Impuestos,101.91296
2007-02-01,Impuestos, 96.60628
2007-03-01,Impuestos,107.72713
2007-04-01,Impuestos, 94.53079
2007-05-01,Impuestos,108.52548
2007-06-01,Impuestos,101.47564
2007-07-01,Impuestos,111.97158
2007-08-01,Impuestos,113.79689
2007-09-01,Impuestos,100.18375
2007-10-01,Impuestos,116.04509
2007-11-01,Impuestos,121.57966
2007-12-01,Impuestos,113.25107
2008-01-01,Impuestos,112.47876
2008-02-01,Impuestos,105.74888
2008-03-01,Impuestos,110.48690
2008-04-01,Impuestos,122.32899
2008-05-01,Impuestos,103.60688
2008-06-01,Impuestos,103.92578
2008-07-01,Impuestos,115.91339
2008-08-01,Impuestos,106.34155
2008-09-01,Impuestos,103.04777
2008-10-01,Impuestos,116.22940
2008-11-01,Impuestos,104.25045
2008-12-01,Impuestos,113.49449
2009-01-01,Impuestos,101.11039
2009-02-01,Impuestos,104.02712
2009-03-01,Impuestos,102.26479
2009-04-01,Impuestos,104.65989
2009-05-01,Impuestos,105.90721
2009-06-01,Impuestos,103.57286
2009-07-01,Impuestos,111.20987
2009-08-01,Impuestos,112.92006
2009-09-01,Impuestos,102.55748
2009-10-01,Impuestos,111.48775
2009-11-01,Impuestos,111.50988
2009-12-01,Impuestos,114.26284
2010-01-01,Impuestos,106.72029
2010-02-01,Impuestos, 99.64168
2010-03-01,Impuestos,106.96915
2010-04-01,Impuestos,100.26854
2010-05-01,Impuestos,105.76784
2010-06-01,Impuestos,108.10515
2010-07-01,Impuestos,115.16045
2010-08-01,Impuestos,110.21882
2010-09-01,Impuestos,105.83942
2010-10-01,Impuestos,110.44362
2010-11-01,Impuestos,114.97729
2010-12-01,Impuestos,116.05324
2011-01-01,Impuestos,113.08104
2011-02-01,Impuestos,114.57435
2011-03-01,Impuestos,122.14881
2011-04-01,Impuestos,110.89366
2011-05-01,Impuestos,123.68114
2011-06-01,Impuestos,118.14974
2011-07-01,Impuestos,127.97493
2011-08-01,Impuestos,125.04639
2011-09-01,Impuestos,113.81251
2011-10-01,Impuestos,118.95368
2011-11-01,Impuestos,118.66417
2011-12-01,Impuestos,121.08265
2012-01-01,Impuestos,131.76917
2012-02-01,Impuestos,125.85032
2012-03-01,Impuestos,137.73987
2012-04-01,Impuestos,129.18553
2012-05-01,Impuestos,137.29077
2012-06-01,Impuestos,120.80220
2012-07-01,Impuestos,135.00072
2012-08-01,Impuestos,127.56529
2012-09-01,Impuestos,118.70541
2012-10-01,Impuestos,132.22188
2012-11-01,Impuestos,125.40639
2012-12-01,Impuestos,131.95778
2013-01-01,Impuestos,131.26841
2013-02-01,Impuestos,126.29043
2013-03-01,Impuestos,117.65698
2013-04-01,Impuestos,136.16423
2013-05-01,Impuestos,131.35174
2013-06-01,Impuestos,126.64989
2013-07-01,Impuestos,139.15579
2013-08-01,Impuestos,139.99629
2013-09-01,Impuestos,125.07145
2013-10-01,Impuestos,139.93793
2013-11-01,Impuestos,135.71094
2013-12-01,Impuestos,148.20071
2014-01-01,Impuestos,133.86066
2014-02-01,Impuestos,130.92841
2014-03-01,Impuestos,135.16517
2014-04-01,Impuestos,129.95767
2014-05-01,Impuestos,139.28614
2014-06-01,Impuestos,136.09384
2014-07-01,Impuestos,146.63436
2014-08-01,Impuestos,142.66638
2014-09-01,Impuestos,130.15778
2014-10-01,Impuestos,148.70552
2014-11-01,Impuestos,142.0389
2014-12-01,Impuestos,153.39882
2015-01-01,Impuestos,139.39792
2015-02-01,Impuestos,143.76074
2015-03-01,Impuestos,151.45898
2015-04-01,Impuestos,130.79836
2015-05-01,Impuestos,148.02158
2015-06-01,Impuestos,145.93451
2015-07-01,Impuestos,154.02066
2015-08-01,Impuestos,153.88301
2015-09-01,Impuestos,157.87089
