date,var,type,amount
2006-03-01,PIB,Nominal,28438.0166
2006-06-01,PIB,Nominal,28538.1732
2006-09-01,PIB,Nominal,29799.3038
2006-12-01,PIB,Nominal,32062.2167
2007-03-01,PIB,Nominal,32214.6467
2007-06-01,PIB,Nominal,32761.1642
2007-09-01,PIB,Nominal,34188.2666
2007-12-01,PIB,Nominal,37786.1010
2008-03-01,PIB,Nominal,38360.5906
2008-06-01,PIB,Nominal,40914.3507
2008-09-01,PIB,Nominal,42732.4020
2008-12-01,PIB,Nominal,42595.0293
2009-03-01,PIB,Nominal,40659.5401
2009-06-01,PIB,Nominal,40612.5717
2009-09-01,PIB,Nominal,42560.2632
2009-12-01,PIB,Nominal,44958.9349
2010-03-01,PIB,Nominal,44341.7706
2010-06-01,PIB,Nominal,43653.4315
2010-09-01,PIB,Nominal,47116.5141
2010-12-01,PIB,Nominal,51940.9257
2011-03-01,PIB,Nominal,49613.3127
2011-06-01,PIB,Nominal,53475.1706
2011-09-01,PIB,Nominal,56201.4943
2011-12-01,PIB,Nominal,59892.2322
2012-03-01,PIB,Nominal,59938.6686
2012-06-01,PIB,Nominal,58613.7514
2012-09-01,PIB,Nominal,62042.7502
2012-12-01,PIB,Nominal,67398.7008
2013-03-01,PIB,Nominal,65548.4330
2013-06-01,PIB,Nominal,66530.9248
2013-09-01,PIB,Nominal,68702.9700
2013-12-01,PIB,Nominal,70747.4987
2014-03-01,PIB,Nominal,73446.1586
2014-06-01,PIB,Nominal,73339.7074
2014-09-01,PIB,Nominal,78425.0247
2014-12-01,PIB,Nominal,83192.2327
2015-03-01,PIB,Nominal,82067.6669
2015-06-01,PIB,Nominal,82690.8108
2015-09-01,PIB,Nominal,87960.3925
2015-12-01,PIB,Nominal,94988.4226
2016-03-01,PIB,Nominal,91153.9491
2016-06-01,PIB,Nominal,92667.6615
2016-09-01,PIB,Nominal,95095.3644
2016-12-01,PIB,Nominal,101343.7991
2017-03-01,PIB,Nominal,101220.6524
2017-06-01,PIB,Nominal,99969.3349
2017-09-01,PIB,Nominal,101383.2658
2017-12-01,PIB,Nominal,111705.8043
2018-03-01,PIB,Nominal,107027.5946
2018-06-01,PIB,Nominal,98617.7201
2018-09-01,PIB,Nominal,100804.0730
2018-12-01,PIB,Nominal,105757.6151
2019-03-01,PIB,Nominal,101347.2721
2019-06-01,PIB,Nominal,99999.7156
2019-09-01,PIB,Nominal,102691.8262
2019-12-01,PIB,Nominal,110674.7593
2020-03-01,PIB,Nominal,108048.3669
2020-06-01,PIB,Nominal,94486.7912
2006-03-01,Impuestos netos a la producción,Nominal, 2806.9921
2006-06-01,Impuestos netos a la producción,Nominal, 2693.0511
2006-09-01,Impuestos netos a la producción,Nominal, 2777.8294
2006-12-01,Impuestos netos a la producción,Nominal, 2970.0871
2007-03-01,Impuestos netos a la producción,Nominal, 3133.7421
2007-06-01,Impuestos netos a la producción,Nominal, 3280.5260
2007-09-01,Impuestos netos a la producción,Nominal, 3129.8471
2007-12-01,Impuestos netos a la producción,Nominal, 3444.0291
2008-03-01,Impuestos netos a la producción,Nominal, 3768.7069
2008-06-01,Impuestos netos a la producción,Nominal, 3672.4283
2008-09-01,Impuestos netos a la producción,Nominal, 3563.1023
2008-12-01,Impuestos netos a la producción,Nominal, 3606.8922
2009-03-01,Impuestos netos a la producción,Nominal, 3838.0066
2009-06-01,Impuestos netos a la producción,Nominal, 3285.3159
2009-09-01,Impuestos netos a la producción,Nominal, 3634.7184
2009-12-01,Impuestos netos a la producción,Nominal, 3852.8349
2010-03-01,Impuestos netos a la producción,Nominal, 4552.6953
2010-06-01,Impuestos netos a la producción,Nominal, 3930.7648
2010-09-01,Impuestos netos a la producción,Nominal, 4290.8380
2010-12-01,Impuestos netos a la producción,Nominal, 4649.7146
2011-03-01,Impuestos netos a la producción,Nominal, 4707.6628
2011-06-01,Impuestos netos a la producción,Nominal, 5313.9123
2011-09-01,Impuestos netos a la producción,Nominal, 5630.1149
2011-12-01,Impuestos netos a la producción,Nominal, 5185.2587
2012-03-01,Impuestos netos a la producción,Nominal, 6091.4914
2012-06-01,Impuestos netos a la producción,Nominal, 5901.4289
2012-09-01,Impuestos netos a la producción,Nominal, 5850.0293
2012-12-01,Impuestos netos a la producción,Nominal, 6453.5359
2013-03-01,Impuestos netos a la producción,Nominal, 6910.3392
2013-06-01,Impuestos netos a la producción,Nominal, 6870.9858
2013-09-01,Impuestos netos a la producción,Nominal, 6576.2519
2013-12-01,Impuestos netos a la producción,Nominal, 6133.5853
2014-03-01,Impuestos netos a la producción,Nominal, 7951.3900
2014-06-01,Impuestos netos a la producción,Nominal, 7435.0704
2014-09-01,Impuestos netos a la producción,Nominal, 7586.1068
2014-12-01,Impuestos netos a la producción,Nominal, 6765.9804
2015-03-01,Impuestos netos a la producción,Nominal, 8519.9930
2015-06-01,Impuestos netos a la producción,Nominal, 7940.8883
2015-09-01,Impuestos netos a la producción,Nominal, 8102.2943
2015-12-01,Impuestos netos a la producción,Nominal, 8751.5740
2016-03-01,Impuestos netos a la producción,Nominal, 9777.4637
2016-06-01,Impuestos netos a la producción,Nominal, 9286.9384
2016-09-01,Impuestos netos a la producción,Nominal, 9079.1079
2016-12-01,Impuestos netos a la producción,Nominal,  9216.3900
2017-03-01,Impuestos netos a la producción,Nominal, 10143.4094
2017-06-01,Impuestos netos a la producción,Nominal,10330.8177
2017-09-01,Impuestos netos a la producción,Nominal,  9881.7208
2017-12-01,Impuestos netos a la producción,Nominal, 10691.7374
2018-03-01,Impuestos netos a la producción,Nominal, 10387.2948
2018-06-01,Impuestos netos a la producción,Nominal, 8787.9334
2018-09-01,Impuestos netos a la producción,Nominal,  7897.4238
2018-12-01,Impuestos netos a la producción,Nominal,  8602.3415
2019-03-01,Impuestos netos a la producción,Nominal,  9594.8964
2019-06-01,Impuestos netos a la producción,Nominal,10388.3609
2019-09-01,Impuestos netos a la producción,Nominal, 10245.2291
2019-12-01,Impuestos netos a la producción,Nominal, 10540.2909
2020-03-01,Impuestos netos a la producción,Nominal, 11046.2689
2020-06-01,Impuestos netos a la producción,Nominal, 9691.5706
2006-03-01,Agricultura,Nominal, 2124.3835
2006-06-01,Agricultura,Nominal, 2053.3652
2006-09-01,Agricultura,Nominal, 2422.2437
2006-12-01,Agricultura,Nominal, 2895.2787
2007-03-01,Agricultura,Nominal, 2240.8818
2007-06-01,Agricultura,Nominal, 2869.4920
2007-09-01,Agricultura,Nominal, 3483.9364
2007-12-01,Agricultura,Nominal, 3997.6374
2008-03-01,Agricultura,Nominal, 2897.4661
2008-06-01,Agricultura,Nominal, 3961.9508
2008-09-01,Agricultura,Nominal, 4071.7178
2008-12-01,Agricultura,Nominal, 3429.2022
2009-03-01,Agricultura,Nominal, 3047.7694
2009-06-01,Agricultura,Nominal, 3625.0898
2009-09-01,Agricultura,Nominal, 4106.5759
2009-12-01,Agricultura,Nominal, 4389.6758
2010-03-01,Agricultura,Nominal, 3193.8419
2010-06-01,Agricultura,Nominal, 3695.7481
2010-09-01,Agricultura,Nominal, 5230.9859
2010-12-01,Agricultura,Nominal, 6321.2148
