date,concept,cat,type,stock_cord,stock_usd,flow_cord,flow_usd
2005-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2005-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2005-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2005-12-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2006-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2006-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2006-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2006-12-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2007-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2007-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2007-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2007-12-01,Alcaldía de Managua,capital,ejecutado,28044775,1492660.04,28044775,1492660.04
2008-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2008-06-01,Alcaldía de Managua,capital,ejecutado,30228231.74,1570177.73,30228231.74,1570177.73
2008-09-01,Alcaldía de Managua,capital,ejecutado,49916670.23,2561441.35,19688438.49,1010299.37
2008-12-01,Alcaldía de Managua,capital,ejecutado,49916670.23,2530218.35,0,0
2009-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2009-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2009-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2009-12-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2010-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2010-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2010-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2010-12-01,Alcaldía de Managua,capital,ejecutado,25076394.48,1152938.77,25076394.48,1152938.77
2011-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2011-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2011-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2011-12-01,Alcaldía de Managua,capital,ejecutado,123680000,5415657.69,123680000,5415657.69
2012-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2012-06-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2012-09-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2012-12-01,Alcaldía de Managua,capital,ejecutado,138554111,5777961.81,138554111,5777961.81
2013-03-01,Alcaldía de Managua,capital,ejecutado,132114699,5442906.13,132114699,5442906.13
2013-06-01,Alcaldía de Managua,capital,ejecutado,132114699,5377458.92,0,0
2013-09-01,Alcaldía de Managua,capital,ejecutado,132114699,5312086.79,0,0
2013-12-01,Alcaldía de Managua,capital,ejecutado,156614699,6220218.6,24500000,973059.08
2014-03-01,Alcaldía de Managua,capital,ejecutado,0,0,0,0
2014-06-01,Alcaldía de Managua,capital,ejecutado,24500000,949735.54,24500000,949735.54
2014-09-01,Alcaldía de Managua,capital,ejecutado,24500000,938190.17,0,0
