date,concept,cat,type,cord,usd
2005-01-01,Alcaldía de Managua,capital,actualizado,0,0
2006-01-01,Alcaldía de Managua,capital,actualizado,0,0
2007-01-01,Alcaldía de Managua,capital,actualizado,28044775,1492660.04
2008-01-01,Alcaldía de Managua,capital,actualizado,60137000,3048275.06
2009-01-01,Alcaldía de Managua,capital,actualizado,23888550,1153241
2010-01-01,Alcaldía de Managua,capital,actualizado,25076394.48,1152938.77
2011-01-01,Alcaldía de Managua,capital,actualizado,123680000,5415657.69
2012-01-01,Alcaldía de Managua,capital,actualizado,138554111,5777961.81
2013-01-01,Alcaldía de Managua,capital,actualizado,156614699,6220218.6
2014-01-01,Alcaldía de Managua,capital,actualizado,24500000,926723.02
2015-01-01,Alcaldía de Managua,capital,actualizado,1133200720,40822662.3
2016-01-01,Alcaldía de Managua,capital,actualizado,140000000,4803149.37
2017-01-01,Alcaldía de Managua,capital,actualizado,420700000,13746384.04
2018-01-01,Alcaldía de Managua,capital,actualizado,310207941,9653381.49
2019-01-01,Alcaldía de Managua,capital,actualizado,321900000,9550586.02
2020-01-01,Alcaldía de Managua,capital,actualizado,753634000,21864495.2
2005-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2006-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2007-01-01,Alcaldía de Managua,corriente,actualizado,500000,26612.09
2008-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2009-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2010-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2011-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2012-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2013-01-01,Alcaldía de Managua,corriente,actualizado,16991862,674860.64
2014-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2015-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2016-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2017-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2018-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2019-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2020-01-01,Alcaldía de Managua,corriente,actualizado,0,0
2005-01-01,Alcaldía de Managua,total,actualizado,0,0
2006-01-01,Alcaldía de Managua,total,actualizado,0,0
2007-01-01,Alcaldía de Managua,total,actualizado,28544775,1519272.13
2008-01-01,Alcaldía de Managua,total,actualizado,60137000,3048275.06
2009-01-01,Alcaldía de Managua,total,actualizado,23888550,1153241
2010-01-01,Alcaldía de Managua,total,actualizado,25076394.48,1152938.77
2011-01-01,Alcaldía de Managua,total,actualizado,123680000,5415657.69
2012-01-01,Alcaldía de Managua,total,actualizado,138554111,5777961.81
2013-01-01,Alcaldía de Managua,total,actualizado,173606561,6895079.24
2014-01-01,Alcaldía de Managua,total,actualizado,24500000,926723.02
2015-01-01,Alcaldía de Managua,total,actualizado,1133200720,40822662.3
