date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2018-03-01,Activos fijos y otros activos,ejecutado,128444043.49,4146171,128444043.49,4146171
2018-06-01,Activos fijos y otros activos,ejecutado,285944715.72,9119300,157500672.23000002,5022984.6
2018-09-01,Activos fijos y otros activos,ejecutado,566580857.54,17849638,280636141.81999993,8841197.9
2018-12-01,Activos fijos y otros activos,ejecutado,1332767912.03,41474493,766187054.49,23843025.8
2019-03-01,Activos fijos y otros activos,ejecutado,203392669.33,6252868,203392669.33,6252867.7
2019-06-01,Activos fijos y otros activos,ejecutado,411387282.64,12495136,207994613.30999997,6317455.9
2019-09-01,Activos fijos y otros activos,ejecutado,569980829.48,17101667,158593546.84000003,4758430.3
2019-12-01,Activos fijos y otros activos,ejecutado,1501290893.35,44542429,931310063.8699999,27631428.6
2020-03-01,Activos fijos y otros activos,ejecutado,283588828.41,8349668,283588828.41,8349668.5
2020-06-01,Activos fijos y otros activos,ejecutado,439207821.28,12836848,155618992.86999995,4548319.2
2020-09-01,Activos fijos y otros activos,ejecutado,648716995.08,18820634,209509173.80000007,6078298.4
2018-03-01,Activos no producidos,ejecutado,13863061.63,447499.34,13863061.63,447499.34
2018-06-01,Activos no producidos,ejecutado,14962061.63,477167.52,1099000,35049.12
2018-09-01,Activos no producidos,ejecutado,14962061.63,471366.76,0,0
2018-12-01,Activos no producidos,ejecutado,20947393.11,651863.32,5985331.479999999,186257.93
2019-03-01,Activos no producidos,ejecutado,0,0,0,0
2019-06-01,Activos no producidos,ejecutado,409787.82,12446.56,409787.82,12446.56
2019-09-01,Activos no producidos,ejecutado,4313126.08,129410.75,3903338.2600000002,117115.5
2019-12-01,Activos no producidos,ejecutado,35629133.72,1057095.7,31316007.64,929127.76
2020-03-01,Activos no producidos,ejecutado,12290614.09,361870.93,12290614.09,361870.93
2020-06-01,Activos no producidos,ejecutado,30902074.82,903183.46,18611460.73,543962.3
2020-09-01,Activos no producidos,ejecutado,77400914.8,2245562.08,46498839.98,1349028.39
2005-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2005-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2005-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2005-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2006-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2006-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2006-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2006-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2007-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2007-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2007-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2007-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2008-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2008-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2008-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2008-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2009-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2009-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2009-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2009-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2010-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2010-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2010-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2010-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2011-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2011-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2011-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2011-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2012-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2012-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2012-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2012-12-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2013-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2013-06-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2013-09-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2013-12-01,Arrendamientos de tierras y terrenos,ejecutado,1486659.38,59045.20065,1486659.38,59045.20065
2014-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2014-06-01,Arrendamientos de tierras y terrenos,ejecutado,202646.04,7855.51617,202646.04,7855.51617
2014-09-01,Arrendamientos de tierras y terrenos,ejecutado,181269.02,6941.4209,-21377.02000000002,-818.60041
2014-12-01,Arrendamientos de tierras y terrenos,ejecutado,512117.78,19371.07484,330848.76,12514.49636
2015-03-01,Arrendamientos de tierras y terrenos,ejecutado,0,0,0,0
2015-06-01,Arrendamientos de tierras y terrenos,ejecutado,323982.03,11961.01878,323982.03,11961.01878
2015-09-01,Arrendamientos de tierras y terrenos,ejecutado,1158982.03,42268.0467,835000,30452.42987
