date,concept,type,cord,usd
2018-01-01,Activos fijos y otros activos,actualizado,1560377317.97,48557485
2019-01-01,Activos fijos y otros activos,actualizado,1765826610.21,52391050
2020-01-01,Activos fijos y otros activos,actualizado,1443190710.58,41869975
2018-01-01,Activos fijos y otros activos,ejecutado,1332767912.03,41474493
2019-01-01,Activos fijos y otros activos,ejecutado,1501290893.35,44542429
2018-01-01,Activos no producidos,actualizado,20947394.94,651863.37
2019-01-01,Activos no producidos,actualizado,35651097.68,1057747.36
2020-01-01,Activos no producidos,actualizado,136086247.04,3948146.04
2018-01-01,Activos no producidos,ejecutado,20947393.11,651863.32
2019-01-01,Activos no producidos,ejecutado,35629133.72,1057095.7
2005-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2006-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2007-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2008-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2009-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2010-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2011-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2012-01-01,Arrendamientos de tierras y terrenos,actualizado,0,0
2013-01-01,Arrendamientos de tierras y terrenos,actualizado,1634382.4,64912.27113
2014-01-01,Arrendamientos de tierras y terrenos,actualizado,625126.05,23645.66116
2015-01-01,Arrendamientos de tierras y terrenos,actualizado,4872832.82,175539.95964
2016-01-01,Arrendamientos de tierras y terrenos,actualizado,4199180.37,144066.36119
2017-01-01,Arrendamientos de tierras y terrenos,actualizado,11685252.14,381815.93414
2018-01-01,Arrendamientos de tierras y terrenos,actualizado,760489.23,23665.71478
2019-01-01,Arrendamientos de tierras y terrenos,actualizado,577791.69,17142.74383
2020-01-01,Arrendamientos de tierras y terrenos,actualizado,2829667.75,82094.56704
2005-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2006-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2007-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2008-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2009-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2010-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2011-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2012-01-01,Arrendamientos de tierras y terrenos,ejecutado,0,0
2013-01-01,Arrendamientos de tierras y terrenos,ejecutado,1486659.38,59045.20065
2014-01-01,Arrendamientos de tierras y terrenos,ejecutado,512117.78,19371.07484
2015-01-01,Arrendamientos de tierras y terrenos,ejecutado,4815458.46,173473.09356
2016-01-01,Arrendamientos de tierras y terrenos,ejecutado,4194078.58,143891.32791
2017-01-01,Arrendamientos de tierras y terrenos,ejecutado,11462480.85,374536.87613
2018-01-01,Arrendamientos de tierras y terrenos,ejecutado,631874.16,19663.33389
2019-01-01,Arrendamientos de tierras y terrenos,ejecutado,566606.69,16810.89137
2005-01-01,Bienes y servicios,actualizado,2015875374.41,118290872
2006-01-01,Bienes y servicios,actualizado,2916570866.28,162993584
2007-01-01,Bienes y servicios,actualizado,3289135466.82,175061525
2008-01-01,Bienes y servicios,actualizado,5261669660.25,266707957
2009-01-01,Bienes y servicios,actualizado,5423857578.9,261841550
2010-01-01,Bienes y servicios,actualizado,5558106460.2,255545367
2011-01-01,Bienes y servicios,actualizado,7023392492.05,307537917
2012-01-01,Bienes y servicios,actualizado,8154490638.86,340057290
2013-01-01,Bienes y servicios,actualizado,8071593840.74,320577050
2014-01-01,Bienes y servicios,actualizado,9227296247.71,349026441
2015-01-01,Bienes y servicios,actualizado,10481690339.34,377594629
2016-01-01,Bienes y servicios,actualizado,13508486394.46,463451986
2017-01-01,Bienes y servicios,actualizado,13607558778.42,444627356
2018-01-01,Bienes y servicios,actualizado,13209462921.18,411066153
2019-01-01,Bienes y servicios,actualizado,14096454178.09,418233607
2020-01-01,Bienes y servicios,actualizado,13120886422.22,380664299
2005-01-01,Bienes y servicios,ejecutado,1954911874.01,114713555
2006-01-01,Bienes y servicios,ejecutado,2804825646.05,156748663
2007-01-01,Bienes y servicios,ejecutado,3026881515.64,161103274
2008-01-01,Bienes y servicios,ejecutado,4942533866.18,250531332
2009-01-01,Bienes y servicios,ejecutado,4808167366.77,232118557
2010-01-01,Bienes y servicios,ejecutado,4996137986.05,229707712
2011-01-01,Bienes y servicios,ejecutado,6477586356.13,283638344
2012-01-01,Bienes y servicios,ejecutado,7301954734.72,304504971
2013-01-01,Bienes y servicios,ejecutado,7463116153.19,296410326
2014-01-01,Bienes y servicios,ejecutado,8768997705.69,331691102
2015-01-01,Bienes y servicios,ejecutado,10052230384.22,362123672
2016-01-01,Bienes y servicios,ejecutado,13083447469.08,448869661
2017-01-01,Bienes y servicios,ejecutado,13298036821.09,434513718
2018-01-01,Bienes y servicios,ejecutado,12605561888.23,392273316
2019-01-01,Bienes y servicios,ejecutado,13695688625.43,406343126
2005-01-01,Construcciones,actualizado,6037728728.26,354291841
2006-01-01,Construcciones,actualizado,7817416841.4,436879076
2007-01-01,Construcciones,actualizado,10120417933.74,538650905
2008-01-01,Construcciones,actualizado,14257252763.02,722683674
2009-01-01,Construcciones,actualizado,15525068192.03,749486478
2010-01-01,Construcciones,actualizado,16110007771.03,740690716
2011-01-01,Construcciones,actualizado,18856028641.98,825661356
2012-01-01,Construcciones,actualizado,21717938351.65,905678059
2013-01-01,Construcciones,actualizado,23146012122.97,919283158
2014-01-01,Construcciones,actualizado,27375966486.51,1035507683
2015-01-01,Construcciones,actualizado,30959439202.8,1115289383
2016-01-01,Construcciones,actualizado,36111443138.14,1238918968
2017-01-01,Construcciones,actualizado,38862819866.09,1269843705
2018-01-01,Construcciones,actualizado,40136745419.97,1249018042
2018-01-01,Construcciones,actualizado,10249516917.02,318955397
2019-01-01,Construcciones,actualizado,41751664309.77,1238747628
2019-01-01,Construcciones,actualizado,10310433402.23,305904570
2020-01-01,Construcciones,actualizado,41787241404.1,1212335085
2020-01-01,Construcciones,actualizado,11065395974.1,321030231
2005-01-01,Construcciones,ejecutado,5972788594.77,350481177
2006-01-01,Construcciones,ejecutado,7683266883.93,429382059
2007-01-01,Construcciones,ejecutado,9815360601.37,522414480
2008-01-01,Construcciones,ejecutado,13853655649.25,702225802
2009-01-01,Construcciones,ejecutado,14852958530.94,717039786
2010-01-01,Construcciones,ejecutado,15510052758.22,713106551
2011-01-01,Construcciones,ejecutado,18287015818.24,800745616
2012-01-01,Construcciones,ejecutado,20770180856.04,866154824
2013-01-01,Construcciones,ejecutado,22489589297.41,893212212
2014-01-01,Construcciones,ejecutado,26883113509.16,1016865308
2015-01-01,Construcciones,ejecutado,30393481744.63,1094901212
2016-01-01,Construcciones,ejecutado,35600078336.02,1221374957
2017-01-01,Construcciones,ejecutado,38460755737.85,1256706249
2018-01-01,Construcciones,ejecutado,39230415807.19,1220813911
2018-01-01,Construcciones,ejecutado,9845547880.56,306384257
2019-01-01,Construcciones,ejecutado,41129209675.12,1220279761
2019-01-01,Construcciones,ejecutado,10044824775.76,298024116
2005-01-01,Gasto corriente,actualizado,10723588662.63,629256488
2006-01-01,Gasto corriente,actualizado,14662760786.93,819433518
2007-01-01,Gasto corriente,actualizado,16544063059.52,880544123
2008-01-01,Gasto corriente,actualizado,21479382677.09,1088765096
2009-01-01,Gasto corriente,actualizado,23793783086.97,1148666045
2010-01-01,Gasto corriente,actualizado,25081108287.62,1153155499
2011-01-01,Gasto corriente,actualizado,29283331285.85,1282248530
2012-01-01,Gasto corriente,actualizado,33818542416.88,1410295552
2013-01-01,Gasto corriente,actualizado,36337898014.97,1443221298
2014-01-01,Gasto corriente,actualizado,41556731777.4,1571901217
2015-01-01,Gasto corriente,actualizado,46799192609.51,1685904008
2016-01-01,Gasto corriente,actualizado,53866161204.04,1848051561
2017-01-01,Gasto corriente,actualizado,58701385189.39,1918069371
2018-01-01,Gasto corriente,actualizado,60992042785.41,1898015424
2019-01-01,Gasto corriente,actualizado,64219029757.58,1905341311
2020-01-01,Gasto corriente,actualizado,64396553055.37,1868278402
2005-01-01,Gasto corriente,ejecutado,10593536204.34,621625054
2006-01-01,Gasto corriente,ejecutado,14375692905.48,803390629
2007-01-01,Gasto corriente,ejecutado,16113524503.7,857629063
2008-01-01,Gasto corriente,ejecutado,20664265428.46,1047447745
2009-01-01,Gasto corriente,ejecutado,22850671184.01,1103136479
2010-01-01,Gasto corriente,ejecutado,24198186113.11,1112561337
2011-01-01,Gasto corriente,ejecutado,28426745438.8,1244740641
2012-01-01,Gasto corriente,ejecutado,32337223699.85,1348521831
2013-01-01,Gasto corriente,ejecutado,34851505794.07,1384186708
2014-01-01,Gasto corriente,ejecutado,40692297568.23,1539203622
2015-01-01,Gasto corriente,ejecutado,46005564546.08,1657314183
2016-01-01,Gasto corriente,ejecutado,52924523002.42,1815745640
2017-01-01,Gasto corriente,ejecutado,58003180001.99,1895255497
2018-01-01,Gasto corriente,ejecutado,59295338518.18,1845215572
2019-01-01,Gasto corriente,ejecutado,63286280296.13,1877667176
2005-01-01,Gasto de capital,actualizado,8933608464.79,524221067
2006-01-01,Gasto de capital,actualizado,8432135017.53,471232817
2007-01-01,Gasto de capital,actualizado,8974257933.12,477647483
2008-01-01,Gasto de capital,actualizado,8226503342.92,416991952
2009-01-01,Gasto de capital,actualizado,7833275099.55,378158324
2010-01-01,Gasto de capital,actualizado,8139870631.04,374247281
2011-01-01,Gasto de capital,actualizado,8832602685.37,386758996
2012-01-01,Gasto de capital,actualizado,10771798192.53,449203839
2013-01-01,Gasto de capital,actualizado,12562689969.83,498948555
2014-01-01,Gasto de capital,actualizado,14785132966.68,559254001
2015-01-01,Gasto de capital,actualizado,18019597239.92,649141780
2016-01-01,Gasto de capital,actualizado,20695468777.45,710024485
2017-01-01,Gasto de capital,actualizado,23347109951.52,762867458
2018-01-01,Gasto de capital,actualizado,22393263838.62,696857462
2019-01-01,Gasto de capital,actualizado,18272118185.45,542123133
2020-01-01,Gasto de capital,actualizado,19577461808.08,567983026
2005-01-01,Gasto de capital,ejecutado,7749878179.88,454760181
2006-01-01,Gasto de capital,ejecutado,6782275477.94,379029839
2007-01-01,Gasto de capital,ejecutado,7705809229.65,410135346
2008-01-01,Gasto de capital,ejecutado,7517974449.45,381077441
2009-01-01,Gasto de capital,ejecutado,7019936008.58,338893656
2010-01-01,Gasto de capital,ejecutado,7564406770.17,347789147
2011-01-01,Gasto de capital,ejecutado,8272076614.59,362214871
2012-01-01,Gasto de capital,ejecutado,10153504651.35,423419858
2013-01-01,Gasto de capital,ejecutado,11661675443.76,463163234
2014-01-01,Gasto de capital,ejecutado,13946765213.02,527542381
2015-01-01,Gasto de capital,ejecutado,17635161759.57,635292795
2016-01-01,Gasto de capital,ejecutado,19847570998.51,680934630
2017-01-01,Gasto de capital,ejecutado,22470865665.01,734236152
2018-01-01,Gasto de capital,ejecutado,21485567053.32,668610786
2019-01-01,Gasto de capital,ejecutado,17528287943.23,520054122
2005-01-01,Gasto de consumo,actualizado,6037728728.26,354291841
2006-01-01,Gasto de consumo,actualizado,7817416841.4,436879076
2007-01-01,Gasto de consumo,actualizado,10120417933.74,538650905
2008-01-01,Gasto de consumo,actualizado,14257252763.02,722683674
2009-01-01,Gasto de consumo,actualizado,15525068192.03,749486478
2010-01-01,Gasto de consumo,actualizado,16110007771.03,740690716
2011-01-01,Gasto de consumo,actualizado,18856028641.98,825661356
2012-01-01,Gasto de consumo,actualizado,21717938351.65,905678059
2013-01-01,Gasto de consumo,actualizado,23146012122.97,919283158
2014-01-01,Gasto de consumo,actualizado,27375966486.51,1035507683
2015-01-01,Gasto de consumo,actualizado,30959439202.8,1115289383
2016-01-01,Gasto de consumo,actualizado,36111443138.14,1238918968
2017-01-01,Gasto de consumo,actualizado,38862819866.09,1269843705
