date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2005-03-01,Aguas gaseadas,ejecutado,35780421.49,2177908,35780421.49,2177907.81
2005-06-01,Aguas gaseadas,ejecutado,73334554.28,4410106,37554132.79,2258385.57
2005-09-01,Aguas gaseadas,ejecutado,97403490.02,5785809,24068935.739999995,1429705.18
2005-12-01,Aguas gaseadas,ejecutado,127779296.56,7498045,30375806.540000007,1782441.86
2006-03-01,Aguas gaseadas,ejecutado,30864379.08,1789215,30864379.08,1789214.82
2006-06-01,Aguas gaseadas,ejecutado,70858797.37,4058305,39994418.29000001,2290605.54
2006-09-01,Aguas gaseadas,ejecutado,110075203.22,6227714,39216405.849999994,2218742.75
2006-12-01,Aguas gaseadas,ejecutado,148927248.65,8322851,38852045.43000001,2171260.16
2007-03-01,Aguas gaseadas,ejecutado,23798203.65,1313892,23798203.65,1313892.19
2007-06-01,Aguas gaseadas,ejecutado,67371526.64,3674837,43573322.99,2376743.85
2007-09-01,Aguas gaseadas,ejecutado,104431636.71,5627065,37060110.06999999,1996901
2007-12-01,Aguas gaseadas,ejecutado,146075475.89,7774747,41643839.17999999,2216459.02
2008-03-01,Aguas gaseadas,ejecutado,45961328.03,2416557,45961328.03,2416556.82
2008-06-01,Aguas gaseadas,ejecutado,101507352.03,5272706,55546024,2885287.2
2008-09-01,Aguas gaseadas,ejecutado,146722309.64,7528960,45214957.609999985,2320176.04
2008-12-01,Aguas gaseadas,ejecutado,193580728.76,9812384,46858419.120000005,2375199.14
2009-03-01,Aguas gaseadas,ejecutado,46462124.53,2326676,46462124.53,2326676.38
2009-06-01,Aguas gaseadas,ejecutado,98347934.35,4865735,51885809.81999999,2567035.07
2009-09-01,Aguas gaseadas,ejecutado,144324942.86,7053629,45977008.51000002,2247045.76
2009-12-01,Aguas gaseadas,ejecutado,187602113.25,9056659,43277170.389999986,2089243.9
2010-03-01,Aguas gaseadas,ejecutado,65589917.52,3128130,65589917.52,3128129.68
2010-06-01,Aguas gaseadas,ejecutado,126525361.11,5961717,60935443.589999996,2871201.97
2010-09-01,Aguas gaseadas,ejecutado,186081225.64,8661329,59555864.52999999,2772084.8
2010-12-01,Aguas gaseadas,ejecutado,248139530.93,11408725,62058305.29000002,2853258.12
2011-03-01,Aguas gaseadas,ejecutado,62879093.52,2856042,62879093.52,2856042.29
2011-06-01,Aguas gaseadas,ejecutado,140978223.12,6326399,78099129.6,3504699.05
2011-09-01,Aguas gaseadas,ejecutado,213563345.34,9467153,72585122.22,3217660.96
2011-12-01,Aguas gaseadas,ejecutado,291527946.08,12765326,77964600.73999998,3413887.36
2012-03-01,Aguas gaseadas,ejecutado,74077615.59,3204308,74077615.59,3204308.18
2012-06-01,Aguas gaseadas,ejecutado,173172001.75,7400424,99094386.16,4234751.72
2012-09-01,Aguas gaseadas,ejecutado,254475151.4,10743033,81303149.65,3432328.77
2012-12-01,Aguas gaseadas,ejecutado,350724902.23,14625875,96249750.83000001,4013792.01
2013-03-01,Aguas gaseadas,ejecutado,89364995.91,3681689,89364995.91,3681689.38
2013-06-01,Aguas gaseadas,ejecutado,201130069.74,8186589,111765073.83000001,4549169
2013-09-01,Aguas gaseadas,ejecutado,293849286.86,11815134,92719217.12,3728067.59
2013-12-01,Aguas gaseadas,ejecutado,388721427.65,15438731,94872140.78999996,3768008.1
2014-03-01,Aguas gaseadas,ejecutado,97435703.17,3823037,97435703.17,3823036.59
2014-06-01,Aguas gaseadas,ejecutado,216083818.09,8376428,118648114.92,4599360.47
2014-09-01,Aguas gaseadas,ejecutado,317793779.48,12169429,101709961.39000002,3894827.99
2014-12-01,Aguas gaseadas,ejecutado,423442591.04,16016898,105648811.56,3996211.64
2015-03-01,Aguas gaseadas,ejecutado,118298204.71,4420581,118298204.71,4420580.61
2015-06-01,Aguas gaseadas,ejecutado,247789455.25,9148082,129491250.54,4780657.99
2015-09-01,Aguas gaseadas,ejecutado,364796122.36,13304106,117006667.11000001,4267230.33
2015-12-01,Aguas gaseadas,ejecutado,500553189.11,18032034,135757066.75,4890541.27
2016-03-01,Aguas gaseadas,ejecutado,120660048.72,4293917,120660048.72,4293916.82
2016-06-01,Aguas gaseadas,ejecutado,258288254.67,9080847,137628205.95,4838704.8
2016-09-01,Aguas gaseadas,ejecutado,392450154.96,13630407,134161900.28999999,4659652.51
2016-12-01,Aguas gaseadas,ejecutado,524696068,18001383,132245913.04000002,4537120.53
2017-03-01,Aguas gaseadas,ejecutado,125306448.55,4247134,125306448.55,4247134.25
2017-06-01,Aguas gaseadas,ejecutado,279026047.22,9343584,153719598.67000002,5147519.27
2017-09-01,Aguas gaseadas,ejecutado,407681987.2,13485849,128655939.97999996,4255853.01
2017-12-01,Aguas gaseadas,ejecutado,544850294.05,17802998,137168306.84999996,4481978.19
2018-03-01,Aguas gaseadas,ejecutado,136706246.31,4412875,136706246.31,4412874.76
2018-06-01,Aguas gaseadas,ejecutado,261954802.59,8354218,125248556.28,3994405.62
2018-09-01,Aguas gaseadas,ejecutado,393087038.1,12383866,131132235.51000002,4131207.2
2018-12-01,Aguas gaseadas,ejecutado,523104581.14,16278526,130017543.03999996,4046024.54
2019-03-01,Aguas gaseadas,ejecutado,147090519.07,4521980,147090519.07,4521979.87
2019-06-01,Aguas gaseadas,ejecutado,263724047.97,8010136,116633528.9,3542530.09
2019-09-01,Aguas gaseadas,ejecutado,368908193.42,11068697,105184145.45000002,3155938.13
2019-12-01,Aguas gaseadas,ejecutado,470142336.23,13948850,101234142.81,3003558.21
2020-03-01,Aguas gaseadas,ejecutado,118331247.2,3484011,118331247.2,3484011.31
2020-06-01,Aguas gaseadas,ejecutado,272742303.23,7971515,154411056.03000003,4513014.52
2020-09-01,Aguas gaseadas,ejecutado,407056460.15,11809557,134314156.91999996,3896734.01
2018-03-01,Azúcar,ejecutado,12084677.63,390093.1,12084677.63,390093.14
2018-06-01,Azúcar,ejecutado,36185133.12,1154010.1,24100455.489999995,768607.62
2018-09-01,Azúcar,ejecutado,34052798.83,1072803.9,-2132334.289999999,-67177.34
2018-12-01,Azúcar,ejecutado,36085297.51,1122940.8,2032498.6799999997,63249.46
2019-03-01,Azúcar,ejecutado,-18808116.81,-578214.9,-18808116.81,-578214.87
2019-06-01,Azúcar,ejecutado,-5878932.02,-178561.8,12929184.79,392700.34
2019-09-01,Azúcar,ejecutado,-5507264.36,-165239.6,371667.6599999992,11151.49
