date,code,conc,type,stock_cord,stock_usd,flow_cord,flow_usd
2005-03-01,a,Ingresos totales,ejecutado,3552092750.7,216211275,3552092750.7,216211274.7
2005-06-01,a,Ingresos totales,ejecutado,7089029806.34,426311605,3536937055.6400003,212700095
2005-09-01,a,Ingresos totales,ejecutado,10893930531.94,647104178,3804900725.6000004,226012746.2
2005-12-01,a,Ingresos totales,ejecutado,14708097044.01,863066067,3814166512.0699997,223813976.8
2006-03-01,a,Ingresos totales,ejecutado,4474059080.78,259362185,4474059080.78,259362185.4
2006-06-01,a,Ingresos totales,ejecutado,8461774376.27,484632309,3987715295.4900007,228388938.9
2006-09-01,a,Ingresos totales,ejecutado,12936418436.66,731902477,4474644060.389999,253161497.9
2006-12-01,a,Ingresos totales,ejecutado,17513936559.2,978772474,4577518122.540001,255816202.4
2007-03-01,a,Ingresos totales,ejecutado,5198100034.83,286985654,5198100034.83,286985653.6
2007-06-01,a,Ingresos totales,ejecutado,9929920263.79,541635921,4731820228.960001,258101146.8
2007-09-01,a,Ingresos totales,ejecutado,15123566433.73,814899492,5193646169.939999,279847987.2
2007-12-01,a,Ingresos totales,ejecutado,20585208897.4,1095630780,5461642463.670002,290691419.5
2008-03-01,a,Ingresos totales,ejecutado,6258031282.34,329035057,6258031282.34,329035056.9
2008-06-01,a,Ingresos totales,ejecutado,11981677228.32,622377218,5723645945.98,297309531.2
2008-09-01,a,Ingresos totales,ejecutado,17685585527.47,907524278,5703908299.150002,292692331.3
2008-12-01,a,Ingresos totales,ejecutado,23475765326.41,1189959427,5790179798.939999,293497525.6
2009-03-01,a,Ingresos totales,ejecutado,6619911732.23,331504261,6619911732.23,331504261.5
2009-06-01,a,Ingresos totales,ejecutado,12060277121.61,596678637,5440365389.380001,269160465.6
2009-09-01,a,Ingresos totales,ejecutado,17907855875.6,875215090,5847578753.989998,285790169.6
2009-12-01,a,Ingresos totales,ejecutado,23776473034.11,1147830387,5868617158.510002,283312713.9
2010-03-01,a,Ingresos totales,ejecutado,7600264049.98,362473570,7600264049.98,362473569.6
2010-06-01,a,Ingresos totales,ejecutado,13708496062.27,645927206,6108232012.290001,287812260.4
2010-09-01,a,Ingresos totales,ejecutado,20618269951.73,959697137,6909773889.459999,321622048.7
2010-12-01,a,Ingresos totales,ejecutado,27736125935.03,1275225392,7117855983.299999,327258057.1
2011-03-01,a,Ingresos totales,ejecutado,9235252593.84,419476021,9235252593.84,419476021
2011-06-01,a,Ingresos totales,ejecutado,17390269000.78,780388457,8155016406.939999,365956425
2011-09-01,a,Ingresos totales,ejecutado,26670890040.56,1182306775,9280621039.780003,411405135.6
2011-12-01,a,Ingresos totales,ejecutado,34946213464.24,1530212885,8275323423.6799965,362357041.6
2012-03-01,a,Ingresos totales,ejecutado,11563642293.41,500197979,11563642293.41,500197979.2
2012-06-01,a,Ingresos totales,ejecutado,20866898813.12,891737050,9303256519.71,397570266.6
2012-09-01,a,Ingresos totales,ejecutado,30235165622.76,1276420769,9368266809.64,395494784.8
2012-12-01,a,Ingresos totales,ejecutado,40729495224.12,1698495022,10494329601.360004,437632887
2013-03-01,a,Ingresos totales,ejecutado,12166727637.4,501248968,12166727637.4,501248967.6
2013-06-01,a,Ingresos totales,ejecutado,23341958093.67,950086718,11175230456.269999,454864925.5
2013-09-01,a,Ingresos totales,ejecutado,33556619240.22,1349249364,10214661146.550003,410712561.9
2013-12-01,a,Ingresos totales,ejecutado,44041173647.3,1749169964,10484554407.080002,416411874.2
2014-03-01,a,Ingresos totales,ejecutado,14912870805.26,585128951,14912870805.26,585128951
2014-06-01,a,Ingresos totales,ejecutado,26836980907.63,1040327940,11924110102.37,462234740.4
2014-09-01,a,Ingresos totales,ejecutado,38747373371.93,1483771620,11910392464.3,456090330.4
2014-12-01,a,Ingresos totales,ejecutado,50687272583.87,1917267842,11939899211.940002,451631812.7
2015-03-01,a,Ingresos totales,ejecutado,16764139746.07,626444258,16764139746.07,626444257.7
2015-06-01,a,Ingresos totales,ejecutado,29987473154.44,1107100692,13223333408.369999,488189234.5
2015-09-01,a,Ingresos totales,ejecutado,43902380811,1601118770,13914907656.560001,507476346.8
2015-12-01,a,Ingresos totales,ejecutado,58170512449.18,2095546838,14268131638.18,513998190.5
2016-03-01,a,Ingresos totales,ejecutado,19431611538.2,691510773,19431611538.2,691510772.9
2016-06-01,a,Ingresos totales,ejecutado,35391062782.42,1244271872,15959451244.219997,561099179.3
2016-09-01,a,Ingresos totales,ejecutado,50772043737.39,1763392443,15380980954.970001,534205511.3
2016-12-01,a,Ingresos totales,ejecutado,66101760713.52,2267833076,15329716976.129997,525935146.4
2017-03-01,a,Ingresos totales,ejecutado,21153231720.54,716967211,21153231720.54,716967211.4
2017-06-01,a,Ingresos totales,ejecutado,39222170377.41,1313410128,18068938656.870003,605064095.5
2017-09-01,a,Ingresos totales,ejecutado,56001123989.55,1852479973,16778953612.14,555036637.1
2017-12-01,a,Ingresos totales,ejecutado,73851560525.29,2413101766,17850436535.73999,583263503.4
2018-03-01,a,Ingresos totales,ejecutado,23174953075.42,748086999,23174953075.42,748086999.4
2018-06-01,a,Ingresos totales,ejecutado,39843508818.35,1270682396,16668555742.93,531590740.1
2018-09-01,a,Ingresos totales,ejecutado,53793852390.15,1694728602,13950343571.800003,439493459
2018-12-01,a,Ingresos totales,ejecutado,69712481365.27,2169387331,15918628975.120003,495372870.8
2019-03-01,a,Ingresos totales,ejecutado,20589839852.42,632990093,20589839852.42,632990093
2019-06-01,a,Ingresos totales,ejecutado,40931875356.1,1243230841,20342035503.68,617852118.5
2019-09-01,a,Ingresos totales,ejecutado,59515864882.55,1785710069,18583989526.450005,557592791.1
2019-12-01,a,Ingresos totales,ejecutado,79271603553.58,2351942432,19755738671.03,586141291
2020-03-01,a,Ingresos totales,ejecutado,22726957133.23,669146802,22726957133.23,669146802
2020-06-01,a,Ingresos totales,ejecutado,40092771811.25,1171802499,17365814678.02,507555455
2005-03-01,a01,Ingresos tributarios,ejecutado,3310551486.33,201508971,3310551486.33,201508971
2005-06-01,a01,Ingresos tributarios,ejecutado,6570733405.56,395142915,3260181919.2300005,196056925
2005-09-01,a01,Ingresos tributarios,ejecutado,10115157556.21,600844727,3544424150.6499987,210540325
2005-12-01,a01,Ingresos tributarios,ejecutado,13645868301.02,800734850,3530710744.8100014,207180890
2006-03-01,a01,Ingresos tributarios,ejecutado,4146425256.22,240369181,4146425256.22,240369181
2006-06-01,a01,Ingresos tributarios,ejecutado,7830440121.21,448473820,3684014864.9900002,210995064
2006-09-01,a01,Ingresos tributarios,ejecutado,11957648621.9,676526713,4127208500.6899996,233504670
2006-12-01,a01,Ingresos tributarios,ejecutado,16201227875.36,905411290,4243579253.460001,237153912
2007-03-01,a01,Ingresos tributarios,ejecutado,4832421898.58,266796666,4832421898.58,266796666
2007-06-01,a01,Ingresos tributarios,ejecutado,9210270801.11,502382031,4377848902.530001,238793481
2007-09-01,a01,Ingresos tributarios,ejecutado,13965748862.89,752513086,4755478061.779999,256238280
2007-12-01,a01,Ingresos tributarios,ejecutado,18926379325.22,1007340943,4960630462.330002,264025469
2008-03-01,a01,Ingresos tributarios,ejecutado,5806227879.59,305280117,5806227879.59,305280117
2008-06-01,a01,Ingresos tributarios,ejecutado,11129219306.48,578097074,5322991426.889999,276497900
2008-09-01,a01,Ingresos tributarios,ejecutado,16401042676.34,841608800,5271823369.860001,270520175
2008-12-01,a01,Ingresos tributarios,ejecutado,21674519141.4,1098656338,5273476465.060001,267306430
2009-03-01,a01,Ingresos tributarios,ejecutado,6186364970.47,309793610,6186364970.47,309793610
2009-06-01,a01,Ingresos tributarios,ejecutado,11181889728.89,553220681,4995524758.419999,247152107
2009-09-01,a01,Ingresos tributarios,ejecutado,16587639204.23,810691813,5405749475.34,264196537
2009-12-01,a01,Ingresos tributarios,ejecutado,22033821098.81,1063702314,5446181894.580002,262919276
2010-03-01,a01,Ingresos tributarios,ejecutado,7119313323.27,339535955,7119313323.27,339535955
2010-06-01,a01,Ingresos tributarios,ejecutado,12737307179.71,600166000,5617993856.439999,264712851
2010-09-01,a01,Ingresos tributarios,ejecutado,19140763973.18,890925205,6403456793.470001,298055034
2010-12-01,a01,Ingresos tributarios,ejecutado,25530003215.72,1173794366,6389239242.540001,293758405
2011-03-01,a01,Ingresos tributarios,ejecutado,8342710046.21,378935690,8342710046.21,378935690
2011-06-01,a01,Ingresos tributarios,ejecutado,15757964999.43,707138803,7415254953.22,332759624
2011-09-01,a01,Ingresos tributarios,ejecutado,24102683803.42,1068459520,8344718803.989998,369917073
2011-12-01,a01,Ingresos tributarios,ejecutado,31751686410.38,1390332023,7649002606.960003,334931919
2012-03-01,a01,Ingresos tributarios,ejecutado,10245565401.5,443183123,10245565401.5,443183123
2012-06-01,a01,Ingresos tributarios,ejecutado,18748404958.83,801204217,8502839557.330002,363364826
2012-09-01,a01,Ingresos tributarios,ejecutado,27354874284.78,1154825150,8606469325.949997,363334414
2012-12-01,a01,Ingresos tributarios,ejecutado,37124213033.87,1548148109,9769338749.090004,407399432
2013-03-01,a01,Ingresos tributarios,ejecutado,11372511108.96,468528566,11372511108.96,468528566
2013-06-01,a01,Ingresos tributarios,ejecutado,21665578958.78,881853130,10293067849.82,418958299
2013-09-01,a01,Ingresos tributarios,ejecutado,31064811611.18,1249058405,9399232652.400002,377925696
2013-12-01,a01,Ingresos tributarios,ejecutado,40680905266.34,1615711202,9616093655.159996,381919481
2014-03-01,a01,Ingresos tributarios,ejecutado,14032113777.48,550571122,14032113777.48,550571122
2014-06-01,a01,Ingresos tributarios,ejecutado,25080463581.09,972237045,11048349803.61,428286141
2014-09-01,a01,Ingresos tributarios,ejecutado,36106659577.43,1382649509,11026195996.34,422231374
2014-12-01,a01,Ingresos tributarios,ejecutado,47162796443.45,1783953019,11056136866.019997,418203123
2015-03-01,a01,Ingresos tributarios,ejecutado,15711141382.11,587095696,15711141382.11,587095696
2015-06-01,a01,Ingresos tributarios,ejecutado,28002999218.71,1033836350,12291857836.599998,453800300
2015-09-01,a01,Ingresos tributarios,ejecutado,40902693411.94,1491720243,12899694193.230003,470451536
2015-12-01,a01,Ingresos tributarios,ejecutado,54127920035.76,1949915634,13225226623.82,476428360
2016-03-01,a01,Ingresos tributarios,ejecutado,18334187917.98,652456871,18334187917.98,652456871
2016-06-01,a01,Ingresos tributarios,ejecutado,33115337447.09,1164262378,14781149529.11,519672684
2016-09-01,a01,Ingresos tributarios,ejecutado,47300437848.17,1642818144,14185100401.079998,492670710
2016-12-01,a01,Ingresos tributarios,ejecutado,61403343570.12,2106638795,14102905721.950005,483845449
2017-03-01,a01,Ingresos tributarios,ejecutado,19888038991,674084794,19888038991,674084794
2017-06-01,a01,Ingresos tributarios,ejecutado,36706869900.6,1229181717,16818830909.599998,563202461
2017-09-01,a01,Ingresos tributarios,ejecutado,52175533152.66,1725931970,15468663252.060005,511693103
2017-12-01,a01,Ingresos tributarios,ejecutado,68614348404.23,2241975716,16438815251.57,537138739
2018-03-01,a01,Impuestos,ejecutado,22006213126.47,710360098,22006213126.47,710360098
2018-06-01,a01,Impuestos,ejecutado,37241328502.86,1187694104,15235115376.39,485875704
2018-09-01,a01,Impuestos,ejecutado,50183818578.47,1580997622,12942490075.61,407741910
2018-12-01,a01,Impuestos,ejecutado,64522742222.77,2007887494,14338923644.299995,446213916
2019-03-01,a01,Impuestos,ejecutado,19293062004.78,593123463,19293062004.78,593123463
2019-06-01,a01,Impuestos,ejecutado,38222280584.23,1160931856,18929218579.450005,574940389
2019-09-01,a01,Impuestos,ejecutado,55365693218.79,1661188593,17143412634.559998,514369817
2019-12-01,a01,Impuestos,ejecutado,73278356182.93,2174126263,17912662964.13999,531458305
2020-03-01,a01,Impuestos,ejecutado,21351445321.99,628647789,21351445321.99,628647789
2020-06-01,a01,Impuestos,ejecutado,37609970600.92,1099236983,16258525278.929996,475192402
2005-03-01,dai,DAI,ejecutado,167035165.65,10167214,167035165.65,10167213.7
2005-06-01,dai,DAI,ejecutado,382214097.82,22985135,215178932.17,12940173.5
2005-09-01,dai,DAI,ejecutado,595596021.37,35378661,213381923.55,12674978.4
2005-12-01,dai,DAI,ejecutado,837390226.11,49137770,241794204.74,14188400.6
2006-03-01,dai,DAI,ejecutado,215686894.41,12503417,215686894.41,12503416.5
2006-06-01,dai,DAI,ejecutado,433040981.4,24801613,217354086.98999998,12448549
2006-09-01,dai,DAI,ejecutado,638371699.17,36117093,205330717.76999998,11616975.9
2006-12-01,dai,DAI,ejecutado,887529667.14,49599906,249157967.97000003,13924280.2
2007-03-01,dai,DAI,ejecutado,215280931.35,11885600,215280931.35,11885600.2
2007-06-01,dai,DAI,ejecutado,454519444.89,24792149,239238513.54,13049467.6
2007-09-01,dai,DAI,ejecutado,695928466.24,37498546,241409021.35000002,13007784.2
2007-12-01,dai,DAI,ejecutado,1003872989.43,53430313,307944523.18999994,16390093.5
2008-03-01,dai,DAI,ejecutado,242260368.14,12737577,242260368.14,12737576.8
2008-06-01,dai,DAI,ejecutado,516484687.71,26828323,274224319.57,14244330.4
2008-09-01,dai,DAI,ejecutado,789865307.01,40531423,273380619.3,14028348
2008-12-01,dai,DAI,ejecutado,1093388823.51,55422616,303523516.5,15385256.4
2009-03-01,dai,DAI,ejecutado,200759414.75,10053397,200759414.75,10053397.1
2009-06-01,dai,DAI,ejecutado,401629597.77,19870505,200870183.01999998,9937992.8
2009-09-01,dai,DAI,ejecutado,622131793.22,30405602,220502195.45000005,10776658.6
2009-12-01,dai,DAI,ejecutado,870329484.52,42015930,248197691.29999995,11981964.3
2010-03-01,dai,DAI,ejecutado,212813272.41,10149540,212813272.41,10149540.3
2010-06-01,dai,DAI,ejecutado,459210820.43,21637440,246397548.02,11609944.6
2010-09-01,dai,DAI,ejecutado,734380755.72,34182456,275169935.29,12808048.4
2010-12-01,dai,DAI,ejecutado,1094254610.56,50310605,359873854.8399999,16545940.1
2011-03-01,dai,DAI,ejecutado,298265663.03,13547577,298265663.03,13547576.8
2011-06-01,dai,DAI,ejecutado,612239437.89,27474250,313973774.86,14089575.6
2011-09-01,dai,DAI,ejecutado,978614510.38,43381476,366375072.49,16241217.7
2011-12-01,dai,DAI,ejecutado,1399764829.98,61292425,421150319.6,18441186.7
2012-03-01,dai,DAI,ejecutado,366938301.31,15872317,366938301.31,15872317.1
