date,code,conc,type,cord,usd
2005-01-01,a,Ingresos totales,actualizado,14527606835.07,852474964
2006-01-01,a,Ingresos totales,actualizado,17486896107.45,977261309
2007-01-01,a,Ingresos totales,actualizado,20548225284.04,1093662358
2008-01-01,a,Ingresos totales,actualizado,23880008789.24,1210450061
2009-01-01,a,Ingresos totales,actualizado,23109815876.02,1115646919
2010-01-01,a,Ingresos totales,actualizado,26949606097.88,1239063526
2011-01-01,a,Ingresos totales,actualizado,34781692405.47,1523008892
2012-01-01,a,Ingresos totales,actualizado,40954724874.05,1707887513
2013-01-01,a,Ingresos totales,actualizado,46357463310.21,1841165340
2014-01-01,a,Ingresos totales,actualizado,49106276417.36,1857465983
2015-01-01,a,Ingresos totales,actualizado,57859216907.18,2084332661
2016-01-01,a,Ingresos totales,actualizado,65572569709.58,2249677480
2017-01-01,a,Ingresos totales,actualizado,73277185495.17,2394334046
2018-01-01,a,Ingresos totales,actualizado,73599765547.76,2290355985
2019-01-01,a,Ingresos totales,actualizado,77975352585,2313483418
2020-01-01,a,Ingresos totales,actualizado,79214469190,2315223138
2005-01-01,a01,Ingresos tributarios,actualizado,13505523433,792499462
2006-01-01,a01,Ingresos tributarios,actualizado,16020543012,895313653
2007-01-01,a01,Ingresos tributarios,actualizado,18926480877,1007346348
2008-01-01,a01,Ingresos tributarios,actualizado,21885776020,1109364706
2009-01-01,a01,Ingresos tributarios,actualizado,21142824456,1020688659
2010-01-01,a01,Ingresos tributarios,actualizado,24684200000,1134906825
2011-01-01,a01,Ingresos tributarios,actualizado,31449309285,1377091636
2012-01-01,a01,Ingresos tributarios,actualizado,37422322185,1560579810
2013-01-01,a01,Ingresos tributarios,actualizado,42818327007,1700602535
2014-01-01,a01,Ingresos tributarios,actualizado,45399899997,1717270704
2015-01-01,a01,Ingresos tributarios,actualizado,53669081864,1933386351
2016-01-01,a01,Ingresos tributarios,actualizado,60935060285,2090572833
2017-01-01,a01,Ingresos tributarios,actualizado,68054213274,2223673285
2018-01-01,a01,Impuestos,actualizado,67890465437,2112687896
2019-01-01,a01,Impuestos,actualizado,71714812593,2127736833
2020-01-01,a01,Impuestos,actualizado,73548629579,2149626081
2005-01-01,dai,DAI,actualizado,843235119,49480746
2006-01-01,dai,DAI,actualizado,980640560,54803441
2007-01-01,dai,DAI,actualizado,974788509,51882315
2008-01-01,dai,DAI,actualizado,1128363294,57195432
2009-01-01,dai,DAI,actualizado,888515818,42893892
2010-01-01,dai,DAI,actualizado,945200000,43457513
2011-01-01,dai,DAI,actualizado,1343636243,58834686
2012-01-01,dai,DAI,actualizado,1646065940,68643984
2013-01-01,dai,DAI,actualizado,1918338200,76190058
2014-01-01,dai,DAI,actualizado,1812200000,68547243
2015-01-01,dai,DAI,actualizado,2083547914,75058171
2016-01-01,dai,DAI,actualizado,2441500000,83763494
2017-01-01,dai,DAI,actualizado,2568039577,83910764
