date,tco
1996/01/02 00:00:00,7.97
1996/01/03 00:00:00,7.9725
1996/01/04 00:00:00,7.975
1996/01/05 00:00:00,7.9774
1996/01/08 00:00:00,7.9849
1996/01/09 00:00:00,7.9873
1996/01/10 00:00:00,7.9898
1996/01/11 00:00:00,7.9923
1996/01/12 00:00:00,7.9948
1996/01/15 00:00:00,8.0022
1996/01/16 00:00:00,8.0047
1996/01/17 00:00:00,8.0072
1996/01/18 00:00:00,8.0097
1996/01/19 00:00:00,8.0122
1996/01/22 00:00:00,8.0197
1996/01/23 00:00:00,8.0221
1996/01/24 00:00:00,8.0246
1996/01/25 00:00:00,8.0271
1996/01/26 00:00:00,8.0296
1996/01/29 00:00:00,8.0371
1996/01/30 00:00:00,8.0396
1996/01/31 00:00:00,8.0421
1996/02/01 00:00:00,8.0446
1996/02/02 00:00:00,8.0471
1996/02/05 00:00:00,8.0546
1996/02/06 00:00:00,8.0571
1996/02/08 00:00:00,8.0621
1996/02/09 00:00:00,8.0646
1996/02/12 00:00:00,8.0721
1996/02/13 00:00:00,8.0746
1996/02/14 00:00:00,8.0771
1996/02/15 00:00:00,8.0796
1996/02/16 00:00:00,8.0821
1996/02/19 00:00:00,8.0897
1996/02/20 00:00:00,8.0922
1996/02/21 00:00:00,8.0947
1996/02/22 00:00:00,8.0972
1996/02/23 00:00:00,8.0997
1996/02/26 00:00:00,8.1073
1996/02/27 00:00:00,8.1098
1996/02/28 00:00:00,8.1123
1996/02/29 00:00:00,8.1148
1996/03/01 00:00:00,8.1174
1996/03/04 00:00:00,8.1249
1996/03/05 00:00:00,8.1274
1996/03/06 00:00:00,8.13
1996/03/07 00:00:00,8.1325
1996/03/08 00:00:00,8.135
1996/03/11 00:00:00,8.1426
1996/03/12 00:00:00,8.1451
1996/03/13 00:00:00,8.1477
1996/03/14 00:00:00,8.1502
1996/03/15 00:00:00,8.1527
1996/03/18 00:00:00,8.1603
1996/03/19 00:00:00,8.1628
1996/03/20 00:00:00,8.1654
1996/03/21 00:00:00,8.1679
1996/03/22 00:00:00,8.1705
1996/03/25 00:00:00,8.1781
1996/03/26 00:00:00,8.1806
1996/03/27 00:00:00,8.1831
1996/03/28 00:00:00,8.1857
1996/03/29 00:00:00,8.1882
1996/03/30 00:00:00,8.1908
1996/03/31 00:00:00,8.1933
1996/04/01 00:00:00,8.1959
1996/04/02 00:00:00,8.1984
1996/04/03 00:00:00,8.201
1996/04/08 00:00:00,8.2137
1996/04/09 00:00:00,8.2162
1996/04/10 00:00:00,8.2188
1996/04/11 00:00:00,8.2213
1996/04/12 00:00:00,8.2239
1996/04/15 00:00:00,8.2316
1996/04/16 00:00:00,8.2341
1996/04/17 00:00:00,8.2367
1996/04/18 00:00:00,8.2392
1996/04/19 00:00:00,8.2418
