dep,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13/4/2020,14/4/2020,15/4/2020,16/4/2020,17/4/2020,18/4/2020,19/4/2020,20/4/2020,21/4/2020,22/4/2020,23/4/2020,24/4/2020,25/4/2020,26/4/2020,27/4/2020,28/4/2020,29/4/2020,30/4/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13/5/2020,14/5/2020,15/5/2020,16/5/2020,17/5/2020,18/5/2020,19/5/2020,20/5/2020,21/5/2020,22/5/2020,23/5/2020,24/5/2020,25/5/2020,26/5/2020,27/5/2020,28/5/2020,29/5/2020,30/5/2020,31/5/2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020,11/6/2020,12/6/2020,13/6/2020,14/6/2020,15/6/2020,16/6/2020,17/6/2020,18/6/2020,19/6/2020,20/6/2020,21/6/2020,22/6/2020,23/6/2020,24/6/2020,25/6/2020,26/6/2020,27/6/2020,28/6/2020,29/6/2020,30/6/2020,1/7/2020,2/7/2020,3/7/2020,4/7/2020,5/7/2020,6/7/2020,7/7/2020,8/7/2020,9/7/2020,10/7/2020,11/7/2020,12/7/2020,13/7/2020,14/7/2020,15/7/2020,16/7/2020,17/7/2020,18/7/2020,19/7/2020,20/7/2020,21/7/2020,22/7/2020,23/7/2020,24/7/2020,25/7/2020,26/7/2020,27/7/2020,28/7/2020,29/7/2020,30/7/2020,31/7/2020,1/8/2020,2/8/2020,3/8/2020,4/8/2020,5/8/2020,6/8/2020,7/8/2020,8/8/2020,9/8/2020,10/8/2020,11/8/2020,12/8/2020,13/8/2020,14/8/2020,15/8/2020,16/8/2020,17/8/2020,18/8/2020,19/8/2020,20/8/2020,21/8/2020,22/8/2020,23/8/2020,24/8/2020,25/8/2020,26/8/2020,27/8/2020,28/8/2020,29/8/2020,30/8/2020,31/8/2020,01/9/2020,02/9/2020,03/9/2020,04/9/2020,05/9/2020,06/9/2020,07/9/2020,08/9/2020,09/9/2020,10/9/2020,11/9/2020,12/9/2020,13/9/2020,14/9/2020,15/9/2020,16/9/2020,17/9/2020,18/9/2020,19/9/2020,20/9/2020,21/9/2020,22/9/2020,23/9/2020,24/9/2020,25/9/2020,26/9/2020,27/9/2020,28/9/2020,29/9/2020,30/9/2020
Boaco,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,7,7,7,7,7,8,10,10,10,10,10,10,10,10,11,11,13,13,13,13,13,13,15,15,16,16,16,16,16,16,17,18,20,23,23,23,36,36,39,40,50,50,54,54,54,56,59,63,65,78,94,94,94,108,108,115,118,119,121,121,122,124,124,127,146,147,163,163,163,163,165,165,165,165,165,166,166,170,170,186,190,190,190,190,190,190,191,191,191,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
Carazo,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,8,8,8,8,8,8,10,10,12,15,15,16,17,17,17,18,19,23,23,23,23,27,27,28,32,33,38,69,71,74,76,77,77,82,83,85,89,92,93,96,99,102,102,116,131,155,155,156,159,159,159,159,160,161,167,169,173,179,188,194,202,207,208,209,212,213,216,218,222,224,224,224,224,224,224,226,226,230,235,235,237,237,241,244,246,246,247,248,248,248,249,250,250,250,250,251,251,251,251,251,252,252,252,253,253,253,254,255,255,255,255,255,255,255,255,255,255,255,255,255,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,259,259,259,259,259,259,259,259,259,259,259,261,261,261,263
Chinandega,0,0,0,1,1,1,1,1,1,3,4,7,7,8,8,9,10,11,11,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,17,17,17,18,18,18,22,22,24,26,28,32,39,48,59,61,67,72,75,79,85,94,105,107,110,120,131,136,140,142,150,161,163,166,176,182,184,188,199,202,206,210,226,231,236,238,240,244,246,250,252,252,252,252,252,256,265,268,270,271,271,271,277,278,279,282,282,282,283,285,285,285,286,286,286,286,294,296,296,296,298,299,299,300,302,302,304,306,306,308,310,315,321,322,323,323,323,323,323,323,323,323,323,323,323,323,324,324,324,324,324,325,325,325,329,330,330,337,338,340,342,342,342,342,342,342,342,342,342,342,342,342,342,343,343,343,344,344,344,344,344,344,346,346,346,349,349,350,350,350,350,350,350,350,352,353,353,353,353,363,363,363,363
Chontales,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,8,8,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,31,33,34,34,34,34,34,34,35,35,44,44,47,47,47,47,49,49,53,54,55,58,60,60,60,61,63,63,65,65,66,67,69,70,70,70,73,75,77,78,83,84,88,103,108,110,111,112,112,112,114,115,117,118,122,125,130,130,130,132,133,133,134,134,147,148,149,149,151,152,153,154,156,156,156,166,167,167,167,167,168,170,172,172,174,175,176,181,182,184,185,185,185,185,186,186,186,186,186,186,187,187,187,189,190,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,193,193,193,193,193,193,196,196,196,196,196,196,196,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Estelí,0,8,12,12,12,12,13,14,14,14,14,16,16,18,18,18,18,18,18,20,20,21,22,23,23,23,23,23,23,24,24,24,26,26,28,28,28,28,29,29,29,29,30,33,33,33,33,35,35,36,36,36,36,36,36,40,40,40,41,41,44,45,45,48,51,56,57,57,58,81,83,87,90,90,91,93,97,109,116,125,130,132,143,152,159,162,166,173,179,186,197,228,284,295,303,318,327,334,335,337,337,338,340,345,347,350,389,395,404,406,412,425,439,448,455,455,460,467,473,480,481,487,488,492,492,498,506,506,522,522,523,523,523,527,527,529,529,529,530,532,534,535,539,539,539,539,539,540,553,559,559,559,560,560,564,564,565,596,611,615,619,622,622,623,625,625,629,633,633,633,633,634,634,634,634,634,634,634,634,634,634,634,636,647,647,647,647,647,647,648,652,652,652,652,652,652,652
Granada,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,9,10,13,13,13,14,15,15,15,15,16,16,16,22,22,22,25,28,33,39,42,44,45,51,53,56,57,59,62,65,66,67,70,70,73,76,79,80,106,109,113,115,116,119,121,127,156,158,161,165,167,171,171,172,177,177,178,180,183,185,185,187,187,187,187,191,191,191,192,193,194,198,198,198,199,201,204,204,218,218,221,221,223,223,224,225,225,226,230,232,235,235,238,250,250,250,255,255,258,258,258,259,259,259,259,259,261,261,262,263,264,264,266,266,272,272,274,275,275,275,275,276,276,277,278,279,279,279,279,279,296,296,296,296,296,296,296,297,298,298,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
Jinotega,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,8,9,13,13,13,14,15,15,17,18,18,20,20,21,25,25,25,30,31,31,32,35,35,37,60,68,71,85,92,100,106,107,112,121,123,125,137,142,147,151,180,197,201,204,206,208,219,228,228,230,231,233,234,234,240,244,245,245,247,249,252,257,259,261,266,266,266,272,272,277,278,281,281,281,282,282,282,282,282,282,283,285,285,285,287,287,287,292,293,299,301,301,302,302,302,302,302,305,308,320,320,320,320,320,320,320,320,320,320,320,320,320,321,321,321,321,321,321,323,323,324,324,324,324,325,326,326,326,326,335,335,335,335,346,346,346,346,346,346,346,346,346,346,352,356,356,356
León,0,0,0,0,0,0,1,1,2,2,2,5,7,7,7,9,9,9,9,13,14,14,15,15,16,16,17,17,17,18,18,18,18,19,21,22,26,27,28,28,28,29,30,30,30,34,35,36,37,41,43,46,46,49,49,50,53,55,56,59,66,73,79,91,105,115,122,131,140,152,191,211,221,240,249,265,267,281,295,301,313,330,340,345,355,361,367,371,373,398,413,428,434,443,450,454,456,460,465,468,480,487,505,508,513,550,553,555,558,560,563,574,595,600,600,600,601,602,602,602,606,624,624,627,627,629,631,631,656,658,661,664,664,666,670,670,673,674,674,674,677,677,677,678,679,679,683,695,699,709,709,709,710,716,716,716,720,725,727,728,728,729,730,732,732,733,734,737,748,756,759,760,761,761,762,764,766,766,766,767,767,767,770,776,776,776,777,778,778,779,779,784,784,784,784,784,784
Madriz,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,7,11,11,11,11,11,11,11,11,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,19,19,19,19,19,20,20,20,20,20,20,20,21,22,24,24,24,28,28,28,28,30,30,36,36,36,36,36,58,58,63,69,81,85,88,92,101,103,107,119,119,125,129,146,148,148,157,168,169,170,185,186,186,197,201,211,214,214,215,219,234,235,239,242,244,246,251,254,259,259,264,266,266,274,277,280,281,282,284,284,286,290,297,305,305,309,311,324,324,326,334,338,338,350,360,364,369,372,384,388,391,391,397,401,401,401,401,409,414,429,431,439,439,442,442,442,442,442,442,459,459,459,459,465,465,467,467,467,469,469,469,469,469,469,469,472,473,473,473,473,473,473,473,473,478,478,478,478,478,485
Managua,0,2,13,19,19,26,33,34,35,36,38,39,41,46,55,70,71,76,76,78,80,81,85,87,87,88,89,94,96,102,102,103,103,108,110,112,119,123,138,144,151,166,174,180,188,217,303,347,376,396,437,479,555,572,643,686,743,813,859,920,977,1100,1157,1225,1273,1402,1438,1474,1570,1628,1731,1812,1859,1942,1988,2074,2135,2186,2250,2337,2357,2417,2505,2520,2547,2581,2627,2643,2702,2761,2805,2840,2878,2945,2981,3017,3066,3115,3150,3167,3228,3246,3264,3315,3344,3369,3397,3405,3408,3417,3449,3480,3495,3520,3529,3532,3533,3543,3550,3564,3568,3571,3575,3593,3600,3604,3610,3614,3626,3628,3631,3632,3638,3641,3642,3648,3663,3675,3679,3697,3708,3709,3717,3719,3723,3724,3730,3734,3738,3741,3742,3742,3746,3750,3754,3761,3761,3761,3762,3762,3764,3766,3772,3772,3772,3772,3773,3776,3786,3787,3790,3790,3793,3793,3795,3798,3800,3800,3800,3800,3800,3806,3814,3817,3817,3818,3818,3818,3822,3835,3836,3839,3839,3840,3840,3880,3880
