code,dep,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13/4/2020,14/4/2020,15/4/2020,16/4/2020,17/4/2020,18/4/2020,19/4/2020,20/4/2020,21/4/2020,22/4/2020,23/4/2020,24/4/2020,25/4/2020,26/4/2020,27/4/2020,28/4/2020,29/4/2020,30/4/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13/5/2020,14/5/2020,15/5/2020,16/5/2020,17/5/2020,18/5/2020,19/5/2020,20/5/2020,21/5/2020,22/5/2020,23/5/2020,24/5/2020,25/5/2020,26/5/2020,27/5/2020,28/5/2020,29/5/2020,30/5/2020,31/5/2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020
14,Boaco,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,10,10,10,10,10,10,12,12,13,13,13,13,13,13,14,15,17,20,20,20,33,33,34,35,45,45,49,49,49
7,Carazo,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,8,8,8,8,8,8,10,10,12,15,15,16,17,17,17,18,19,23,23,23,23,27,27,28,32,33,38,69,71,74,75,76,76,80,81,83,87,90,91,94,97,100,100
3,Chinandega,0,0,0,1,1,1,1,1,1,3,4,7,7,8,8,9,10,10,10,12,12,12,12,12,12,12,13,13,13,13,13,13,14,15,16,16,16,17,17,17,20,20,22,24,26,30,37,46,57,59,65,70,73,77,83,92,103,105,108,118,129,134,138,140,148,159,161,164,173,178,180,184,195,198,202,206,222,227,232,234,236,240,242,245,247
15,Chontales,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,8,8,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,30,32,33,33,33,33,33,33,34,34,43,43,46,46,46,46,48,48,52,53,54,56,58,58,58,58,59,59,63,63,64,65,66,67,67
12,Estelí,0,8,12,12,12,12,13,14,14,14,14,16,16,18,18,18,18,18,18,20,20,21,22,23,23,23,23,23,23,24,24,24,26,26,28,28,28,28,29,29,29,29,30,33,33,33,33,35,35,36,36,36,36,36,36,40,40,40,41,41,44,45,45,48,50,55,56,56,57,79,81,85,88,88,89,91,95,106,113,121,124,126,136,143,150
6,Granada,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,9,10,13,13,13,14,15,15,15,15,16,16,16,22,22,22,25,28,32,38,41,43,44,50,52,55,56,58,61,63,64,65,68,68,71,74,77,78,104,107,111,113,114,117,117,123,147,149,152,155,155,159,159
11,Jinotega,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,6,7,11,11,11,11,11,11,13,14,14,16,16,17,21,21,21,26,27,27,28,29,29,31,54,62,65,78,83,89,95,96,100,106,108
4,León,0,0,0,0,0,0,1,1,2,2,2,5,7,7,7,8,8,8,8,12,12,12,13,13,13,13,14,14,14,15,15,15,15,16,17,18,22,22,23,23,23,23,23,23,23,27,28,28,28,32,33,35,35,38,38,39,42,43,44,47,54,61,66,76,89,96,102,110,117,129,168,188,198,217,226,241,243,257,272,277,289,303,311,315,322
10,Madriz,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,7,11,11,11,11,11,11,11,11,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,19,19,19,19,19,20,20,20,20,20,20,20,21,22,24,24,24,28,28,28,28,30,30,36,36,36,36,36,58,58,63,76,88,92,95,99,108,109
2,Managua,0,2,13,19,19,26,33,34,35,36,38,39,41,46,55,69,70,75,75,77,79,80,84,86,86,87,87,91,93,99,99,100,100,105,107,109,116,120,134,139,146,161,169,174,182,208,291,333,361,380,420,461,533,548,615,657,711,778,820,879,932,1050,1104,1169,1214,1340,1373,1407,1501,1553,1650,1721,1759,1832,1874,1949,1996,2032,2090,2172,2186,2238,2303,2309,2323
